date_of_birth,yearofbirth,monthofbirth,dayofbirth,number_of_people
1915_10_09,1915,10,9,6
1915_10_10,1915,10,10,19
1915_10_11,1915,10,11,6
1915_10_12,1915,10,12,17
1915_10_13,1915,10,13,8
1915_10_14,1915,10,14,12
1915_10_15,1915,10,15,15
1915_10_16,1915,10,16,6
1915_10_17,1915,10,17,14
1915_10_18,1915,10,18,3
1915_10_19,1915,10,19,11
1915_10_20,1915,10,20,12
1915_10_21,1915,10,21,4
1915_10_22,1915,10,22,10
1915_10_23,1915,10,23,9
1915_10_24,1915,10,24,7
1915_10_25,1915,10,25,9
1915_10_26,1915,10,26,8
1915_10_27,1915,10,27,3
1915_10_28,1915,10,28,5
1915_10_29,1915,10,29,6
1915_10_30,1915,10,30,9
1915_10_31,1915,10,31,7
1915_11_01,1915,11,1,8
1915_11_02,1915,11,2,12
1915_11_03,1915,11,3,6
1915_11_04,1915,11,4,9
1915_11_05,1915,11,5,6
1915_11_06,1915,11,6,8
1915_11_07,1915,11,7,11
1915_11_08,1915,11,8,4
1915_11_09,1915,11,9,9
1915_11_10,1915,11,10,9
1915_11_11,1915,11,11,9
1915_11_12,1915,11,12,11
1915_11_13,1915,11,13,5
1915_11_14,1915,11,14,7
1915_11_15,1915,11,15,5
1915_11_16,1915,11,16,9
1915_11_17,1915,11,17,11
1915_11_18,1915,11,18,7
1915_11_19,1915,11,19,5
1915_11_20,1915,11,20,6
1915_11_21,1915,11,21,7
1915_11_22,1915,11,22,7
1915_11_23,1915,11,23,12
1915_11_24,1915,11,24,5
1915_11_25,1915,11,25,9
1915_11_26,1915,11,26,7
1915_11_27,1915,11,27,5
1915_11_28,1915,11,28,11
1915_11_29,1915,11,29,12
1915_11_30,1915,11,30,11
1915_12_01,1915,12,1,11
1915_12_02,1915,12,2,5
1915_12_03,1915,12,3,7
1915_12_04,1915,12,4,15
1915_12_05,1915,12,5,7
1915_12_06,1915,12,6,12
1915_12_07,1915,12,7,6
1915_12_08,1915,12,8,11
1915_12_09,1915,12,9,11
1915_12_10,1915,12,10,6
1915_12_11,1915,12,11,7
1915_12_12,1915,12,12,12
1915_12_13,1915,12,13,5
1915_12_14,1915,12,14,9
1915_12_15,1915,12,15,10
1915_12_16,1915,12,16,7
1915_12_17,1915,12,17,3
1915_12_18,1915,12,18,6
1915_12_19,1915,12,19,6
1915_12_20,1915,12,20,4
1915_12_21,1915,12,21,7
1915_12_22,1915,12,22,8
1915_12_23,1915,12,23,4
1915_12_24,1915,12,24,11
1915_12_25,1915,12,25,7
1915_12_26,1915,12,26,4
1915_12_27,1915,12,27,4
1915_12_28,1915,12,28,5
1915_12_29,1915,12,29,5
1915_12_30,1915,12,30,9
1915_12_31,1915,12,31,7
1916_01_01,1916,1,1,67
1916_01_02,1916,1,2,12
1916_01_03,1916,1,3,10
1916_01_04,1916,1,4,12
1916_01_05,1916,1,5,14
1916_01_06,1916,1,6,9
1916_01_07,1916,1,7,14
1916_01_08,1916,1,8,15
1916_01_09,1916,1,9,8
1916_01_10,1916,1,10,7
1916_01_11,1916,1,11,8
1916_01_12,1916,1,12,13
1916_01_13,1916,1,13,13
1916_01_14,1916,1,14,6
1916_01_15,1916,1,15,11
1916_01_16,1916,1,16,23
1916_01_17,1916,1,17,8
1916_01_18,1916,1,18,5
1916_01_19,1916,1,19,8
1916_01_20,1916,1,20,17
1916_01_21,1916,1,21,5
1916_01_22,1916,1,22,8
1916_01_23,1916,1,23,7
1916_01_24,1916,1,24,13
1916_01_25,1916,1,25,11
1916_01_26,1916,1,26,2
1916_01_27,1916,1,27,13
1916_01_28,1916,1,28,12
1916_01_29,1916,1,29,13
1916_01_30,1916,1,30,10
1916_01_31,1916,1,31,9
1916_02_01,1916,2,1,17
1916_02_02,1916,2,2,9
1916_02_03,1916,2,3,16
1916_02_04,1916,2,4,11
1916_02_05,1916,2,5,5
1916_02_06,1916,2,6,4
1916_02_07,1916,2,7,8
1916_02_08,1916,2,8,4
1916_02_09,1916,2,9,4
1916_02_10,1916,2,10,10
1916_02_11,1916,2,11,10
1916_02_12,1916,2,12,12
1916_02_13,1916,2,13,14
1916_02_14,1916,2,14,6
1916_02_15,1916,2,15,11
1916_02_16,1916,2,16,6
1916_02_17,1916,2,17,7
1916_02_18,1916,2,18,11
1916_02_19,1916,2,19,10
1916_02_20,1916,2,20,7
1916_02_21,1916,2,21,7
1916_02_22,1916,2,22,6
1916_02_23,1916,2,23,8
1916_02_24,1916,2,24,11
1916_02_25,1916,2,25,14
1916_02_26,1916,2,26,8
1916_02_27,1916,2,27,11
1916_02_28,1916,2,28,14
1916_02_29,1916,2,29,10
1916_03_01,1916,3,1,12
1916_03_02,1916,3,2,13
1916_03_03,1916,3,3,16
1916_03_04,1916,3,4,10
1916_03_05,1916,3,5,4
1916_03_06,1916,3,6,6
1916_03_07,1916,3,7,5
1916_03_08,1916,3,8,11
1916_03_09,1916,3,9,10
1916_03_10,1916,3,10,15
1916_03_11,1916,3,11,12
1916_03_12,1916,3,12,18
1916_03_13,1916,3,13,13
1916_03_14,1916,3,14,15
1916_03_15,1916,3,15,6
1916_03_16,1916,3,16,17
1916_03_17,1916,3,17,11
1916_03_18,1916,3,18,8
1916_03_19,1916,3,19,14
1916_03_20,1916,3,20,5
1916_03_21,1916,3,21,7
1916_03_22,1916,3,22,12
1916_03_23,1916,3,23,16
1916_03_24,1916,3,24,12
1916_03_25,1916,3,25,11
1916_03_26,1916,3,26,10
1916_03_27,1916,3,27,10
1916_03_28,1916,3,28,6
1916_03_29,1916,3,29,11
1916_03_30,1916,3,30,9
1916_03_31,1916,3,31,6
1916_04_01,1916,4,1,15
1916_04_02,1916,4,2,8
1916_04_03,1916,4,3,10
1916_04_04,1916,4,4,17
1916_04_05,1916,4,5,20
1916_04_06,1916,4,6,8
1916_04_07,1916,4,7,8
1916_04_08,1916,4,8,13
1916_04_09,1916,4,9,10
1916_04_10,1916,4,10,16
1916_04_11,1916,4,11,5
1916_04_12,1916,4,12,12
1916_04_13,1916,4,13,7
1916_04_14,1916,4,14,10
1916_04_15,1916,4,15,4
1916_04_16,1916,4,16,16
1916_04_17,1916,4,17,5
1916_04_18,1916,4,18,16
1916_04_19,1916,4,19,9
1916_04_20,1916,4,20,16
1916_04_21,1916,4,21,7
1916_04_22,1916,4,22,12
1916_04_23,1916,4,23,9
1916_04_24,1916,4,24,11
1916_04_25,1916,4,25,12
1916_04_26,1916,4,26,8
1916_04_27,1916,4,27,12
1916_04_28,1916,4,28,14
1916_04_29,1916,4,29,8
1916_04_30,1916,4,30,8
1916_05_01,1916,5,1,14
1916_05_02,1916,5,2,14
1916_05_03,1916,5,3,4
1916_05_04,1916,5,4,16
1916_05_05,1916,5,5,11
1916_05_06,1916,5,6,12
1916_05_07,1916,5,7,9
1916_05_08,1916,5,8,6
1916_05_09,1916,5,9,10
1916_05_10,1916,5,10,10
1916_05_11,1916,5,11,9
1916_05_12,1916,5,12,16
1916_05_13,1916,5,13,13
1916_05_14,1916,5,14,15
1916_05_15,1916,5,15,9
1916_05_16,1916,5,16,9
1916_05_17,1916,5,17,11
1916_05_18,1916,5,18,6
1916_05_19,1916,5,19,5
1916_05_20,1916,5,20,8
1916_05_21,1916,5,21,6
1916_05_22,1916,5,22,7
1916_05_23,1916,5,23,9
1916_05_24,1916,5,24,8
1916_05_25,1916,5,25,10
1916_05_26,1916,5,26,8
1916_05_27,1916,5,27,11
1916_05_28,1916,5,28,11
1916_05_29,1916,5,29,13
1916_05_30,1916,5,30,11
1916_05_31,1916,5,31,8
1916_06_01,1916,6,1,12
1916_06_02,1916,6,2,6
1916_06_03,1916,6,3,15
1916_06_04,1916,6,4,20
1916_06_05,1916,6,5,7
1916_06_06,1916,6,6,21
1916_06_07,1916,6,7,9
1916_06_08,1916,6,8,7
1916_06_09,1916,6,9,9
1916_06_10,1916,6,10,9
1916_06_11,1916,6,11,14
1916_06_12,1916,6,12,12
1916_06_13,1916,6,13,10
1916_06_14,1916,6,14,10
1916_06_15,1916,6,15,6
1916_06_16,1916,6,16,16
1916_06_17,1916,6,17,11
1916_06_18,1916,6,18,7
1916_06_19,1916,6,19,15
1916_06_20,1916,6,20,16
1916_06_21,1916,6,21,10
1916_06_22,1916,6,22,13
1916_06_23,1916,6,23,9
1916_06_24,1916,6,24,8
1916_06_25,1916,6,25,20
1916_06_26,1916,6,26,12
1916_06_27,1916,6,27,10
1916_06_28,1916,6,28,7
1916_06_29,1916,6,29,11
1916_06_30,1916,6,30,13
1916_07_01,1916,7,1,19
1916_07_02,1916,7,2,8
1916_07_03,1916,7,3,6
1916_07_04,1916,7,4,12
1916_07_05,1916,7,5,10
1916_07_06,1916,7,6,12
1916_07_07,1916,7,7,13
1916_07_08,1916,7,8,11
1916_07_09,1916,7,9,10
1916_07_10,1916,7,10,9
1916_07_11,1916,7,11,7
1916_07_12,1916,7,12,9
1916_07_13,1916,7,13,5
1916_07_14,1916,7,14,8
1916_07_15,1916,7,15,11
1916_07_16,1916,7,16,11
1916_07_17,1916,7,17,9
1916_07_18,1916,7,18,8
1916_07_19,1916,7,19,8
1916_07_20,1916,7,20,16
1916_07_21,1916,7,21,13
1916_07_22,1916,7,22,11
1916_07_23,1916,7,23,11
1916_07_24,1916,7,24,15
1916_07_25,1916,7,25,14
1916_07_26,1916,7,26,5
1916_07_27,1916,7,27,12
1916_07_28,1916,7,28,10
1916_07_29,1916,7,29,4
1916_07_30,1916,7,30,13
1916_07_31,1916,7,31,8
1916_08_01,1916,8,1,13
1916_08_02,1916,8,2,7
1916_08_03,1916,8,3,12
1916_08_04,1916,8,4,14
1916_08_05,1916,8,5,7
1916_08_06,1916,8,6,10
1916_08_07,1916,8,7,14
1916_08_08,1916,8,8,16
1916_08_09,1916,8,9,11
1916_08_10,1916,8,10,11
1916_08_11,1916,8,11,16
1916_08_12,1916,8,12,7
1916_08_13,1916,8,13,6
1916_08_14,1916,8,14,6
1916_08_15,1916,8,15,11
1916_08_16,1916,8,16,19
1916_08_17,1916,8,17,16
1916_08_18,1916,8,18,11
1916_08_19,1916,8,19,14
1916_08_20,1916,8,20,8
1916_08_21,1916,8,21,9
1916_08_22,1916,8,22,9
1916_08_23,1916,8,23,9
1916_08_24,1916,8,24,9
1916_08_25,1916,8,25,10
1916_08_26,1916,8,26,6
1916_08_27,1916,8,27,13
1916_08_28,1916,8,28,12
1916_08_29,1916,8,29,10
1916_08_30,1916,8,30,7
1916_08_31,1916,8,31,4
1916_09_01,1916,9,1,9
1916_09_02,1916,9,2,10
1916_09_03,1916,9,3,15
1916_09_04,1916,9,4,8
1916_09_05,1916,9,5,9
1916_09_06,1916,9,6,11
1916_09_07,1916,9,7,13
1916_09_08,1916,9,8,9
1916_09_09,1916,9,9,15
1916_09_10,1916,9,10,13
1916_09_11,1916,9,11,9
1916_09_12,1916,9,12,6
1916_09_13,1916,9,13,12
1916_09_14,1916,9,14,11
1916_09_15,1916,9,15,11
1916_09_16,1916,9,16,11
1916_09_17,1916,9,17,11
1916_09_18,1916,9,18,7
1916_09_19,1916,9,19,12
1916_09_20,1916,9,20,8
1916_09_21,1916,9,21,11
1916_09_22,1916,9,22,13
1916_09_23,1916,9,23,11
1916_09_24,1916,9,24,14
1916_09_25,1916,9,25,9
1916_09_26,1916,9,26,11
1916_09_27,1916,9,27,10
1916_09_28,1916,9,28,12
1916_09_29,1916,9,29,10
1916_09_30,1916,9,30,11
1916_10_01,1916,10,1,9
1916_10_02,1916,10,2,11
1916_10_03,1916,10,3,10
1916_10_04,1916,10,4,12
1916_10_05,1916,10,5,9
1916_10_06,1916,10,6,12
1916_10_07,1916,10,7,12
1916_10_08,1916,10,8,10
1916_10_09,1916,10,9,10
1916_10_10,1916,10,10,29
1916_10_11,1916,10,11,8
1916_10_12,1916,10,12,18
1916_10_13,1916,10,13,8
1916_10_14,1916,10,14,13
1916_10_15,1916,10,15,13
1916_10_16,1916,10,16,20
1916_10_17,1916,10,17,10
1916_10_18,1916,10,18,16
1916_10_19,1916,10,19,11
1916_10_20,1916,10,20,9
1916_10_21,1916,10,21,6
1916_10_22,1916,10,22,11
1916_10_23,1916,10,23,12
1916_10_24,1916,10,24,9
1916_10_25,1916,10,25,10
1916_10_26,1916,10,26,12
1916_10_27,1916,10,27,9
1916_10_28,1916,10,28,11
1916_10_29,1916,10,29,9
1916_10_30,1916,10,30,11
1916_10_31,1916,10,31,12
1916_11_01,1916,11,1,5
1916_11_02,1916,11,2,8
1916_11_03,1916,11,3,10
1916_11_04,1916,11,4,8
1916_11_05,1916,11,5,3
1916_11_06,1916,11,6,7
1916_11_07,1916,11,7,4
1916_11_08,1916,11,8,13
1916_11_09,1916,11,9,8
1916_11_10,1916,11,10,6
1916_11_11,1916,11,11,11
1916_11_12,1916,11,12,9
1916_11_13,1916,11,13,14
1916_11_14,1916,11,14,9
1916_11_15,1916,11,15,10
1916_11_16,1916,11,16,13
1916_11_17,1916,11,17,13
1916_11_18,1916,11,18,10
1916_11_19,1916,11,19,7
1916_11_20,1916,11,20,9
1916_11_21,1916,11,21,14
1916_11_22,1916,11,22,9
1916_11_23,1916,11,23,3
1916_11_24,1916,11,24,8
1916_11_25,1916,11,25,8
1916_11_26,1916,11,26,9
1916_11_27,1916,11,27,7
1916_11_28,1916,11,28,9
1916_11_29,1916,11,29,9
1916_11_30,1916,11,30,10
1916_12_01,1916,12,1,15
1916_12_02,1916,12,2,8
1916_12_03,1916,12,3,9
1916_12_04,1916,12,4,8
1916_12_05,1916,12,5,11
1916_12_06,1916,12,6,8
1916_12_07,1916,12,7,9
1916_12_08,1916,12,8,9
1916_12_09,1916,12,9,2
1916_12_10,1916,12,10,5
1916_12_11,1916,12,11,13
1916_12_12,1916,12,12,14
1916_12_13,1916,12,13,11
1916_12_14,1916,12,14,7
1916_12_15,1916,12,15,4
1916_12_16,1916,12,16,13
1916_12_17,1916,12,17,10
1916_12_18,1916,12,18,6
1916_12_19,1916,12,19,7
1916_12_20,1916,12,20,5
1916_12_21,1916,12,21,8
1916_12_22,1916,12,22,7
1916_12_23,1916,12,23,6
1916_12_24,1916,12,24,9
1916_12_25,1916,12,25,17
1916_12_26,1916,12,26,11
1916_12_27,1916,12,27,12
1916_12_28,1916,12,28,16
1916_12_29,1916,12,29,9
1916_12_30,1916,12,30,10
1916_12_31,1916,12,31,4
1917_01_01,1917,1,1,68
1917_01_02,1917,1,2,9
1917_01_03,1917,1,3,9
1917_01_04,1917,1,4,13
1917_01_05,1917,1,5,10
1917_01_06,1917,1,6,14
1917_01_07,1917,1,7,17
1917_01_08,1917,1,8,10
1917_01_09,1917,1,9,3
1917_01_10,1917,1,10,16
1917_01_11,1917,1,11,7
1917_01_12,1917,1,12,9
1917_01_13,1917,1,13,12
1917_01_14,1917,1,14,7
1917_01_15,1917,1,15,21
1917_01_16,1917,1,16,15
1917_01_17,1917,1,17,20
1917_01_18,1917,1,18,4
1917_01_19,1917,1,19,10
1917_01_20,1917,1,20,8
1917_01_21,1917,1,21,14
1917_01_22,1917,1,22,13
1917_01_23,1917,1,23,10
1917_01_24,1917,1,24,9
1917_01_25,1917,1,25,8
1917_01_26,1917,1,26,10
1917_01_27,1917,1,27,11
1917_01_28,1917,1,28,9
1917_01_29,1917,1,29,10
1917_01_30,1917,1,30,6
1917_01_31,1917,1,31,8
1917_02_01,1917,2,1,12
1917_02_02,1917,2,2,19
1917_02_03,1917,2,3,10
1917_02_04,1917,2,4,5
1917_02_05,1917,2,5,9
1917_02_06,1917,2,6,9
1917_02_07,1917,2,7,11
1917_02_08,1917,2,8,9
1917_02_09,1917,2,9,11
1917_02_10,1917,2,10,6
1917_02_11,1917,2,11,9
1917_02_12,1917,2,12,7
1917_02_13,1917,2,13,7
1917_02_14,1917,2,14,13
1917_02_15,1917,2,15,15
1917_02_16,1917,2,16,9
1917_02_17,1917,2,17,11
1917_02_18,1917,2,18,11
1917_02_19,1917,2,19,4
1917_02_20,1917,2,20,11
1917_02_21,1917,2,21,8
1917_02_22,1917,2,22,4
1917_02_23,1917,2,23,12
1917_02_24,1917,2,24,16
1917_02_25,1917,2,25,16
1917_02_26,1917,2,26,10
1917_02_27,1917,2,27,12
1917_02_28,1917,2,28,10
1917_03_01,1917,3,1,9
1917_03_02,1917,3,2,17
1917_03_03,1917,3,3,7
1917_03_04,1917,3,4,15
1917_03_05,1917,3,5,14
1917_03_06,1917,3,6,8
1917_03_07,1917,3,7,9
1917_03_08,1917,3,8,10
1917_03_09,1917,3,9,10
1917_03_10,1917,3,10,7
1917_03_11,1917,3,11,17
1917_03_12,1917,3,12,12
1917_03_13,1917,3,13,14
1917_03_14,1917,3,14,9
1917_03_15,1917,3,15,9
1917_03_16,1917,3,16,11
1917_03_17,1917,3,17,12
1917_03_18,1917,3,18,12
1917_03_19,1917,3,19,11
1917_03_20,1917,3,20,10
1917_03_21,1917,3,21,11
1917_03_22,1917,3,22,7
1917_03_23,1917,3,23,4
1917_03_24,1917,3,24,7
1917_03_25,1917,3,25,5
1917_03_26,1917,3,26,16
1917_03_27,1917,3,27,10
1917_03_28,1917,3,28,7
1917_03_29,1917,3,29,17
1917_03_30,1917,3,30,3
1917_03_31,1917,3,31,12
1917_04_01,1917,4,1,16
1917_04_02,1917,4,2,11
1917_04_03,1917,4,3,12
1917_04_04,1917,4,4,13
1917_04_05,1917,4,5,7
1917_04_06,1917,4,6,8
1917_04_07,1917,4,7,11
1917_04_08,1917,4,8,17
1917_04_09,1917,4,9,6
1917_04_10,1917,4,10,9
1917_04_11,1917,4,11,6
1917_04_12,1917,4,12,15
1917_04_13,1917,4,13,9
1917_04_14,1917,4,14,11
1917_04_15,1917,4,15,13
1917_04_16,1917,4,16,11
1917_04_17,1917,4,17,14
1917_04_18,1917,4,18,13
1917_04_19,1917,4,19,4
1917_04_20,1917,4,20,11
1917_04_21,1917,4,21,11
1917_04_22,1917,4,22,8
1917_04_23,1917,4,23,13
1917_04_24,1917,4,24,11
1917_04_25,1917,4,25,7
1917_04_26,1917,4,26,11
1917_04_27,1917,4,27,13
1917_04_28,1917,4,28,8
1917_04_29,1917,4,29,12
1917_04_30,1917,4,30,13
1917_05_01,1917,5,1,4
1917_05_02,1917,5,2,11
1917_05_03,1917,5,3,13
1917_05_04,1917,5,4,11
1917_05_05,1917,5,5,12
1917_05_06,1917,5,6,12
1917_05_07,1917,5,7,15
1917_05_08,1917,5,8,7
1917_05_09,1917,5,9,8
1917_05_10,1917,5,10,9
1917_05_11,1917,5,11,9
1917_05_12,1917,5,12,7
1917_05_13,1917,5,13,8
1917_05_14,1917,5,14,5
1917_05_15,1917,5,15,11
1917_05_16,1917,5,16,8
1917_05_17,1917,5,17,9
1917_05_18,1917,5,18,6
1917_05_19,1917,5,19,7
1917_05_20,1917,5,20,9
1917_05_21,1917,5,21,12
1917_05_22,1917,5,22,9
1917_05_23,1917,5,23,9
1917_05_24,1917,5,24,7
1917_05_25,1917,5,25,8
1917_05_26,1917,5,26,8
1917_05_27,1917,5,27,9
1917_05_28,1917,5,28,10
1917_05_29,1917,5,29,9
1917_05_30,1917,5,30,8
1917_05_31,1917,5,31,9
1917_06_01,1917,6,1,16
1917_06_02,1917,6,2,12
1917_06_03,1917,6,3,13
1917_06_04,1917,6,4,10
1917_06_05,1917,6,5,8
1917_06_06,1917,6,6,23
1917_06_07,1917,6,7,13
1917_06_08,1917,6,8,8
1917_06_09,1917,6,9,11
1917_06_10,1917,6,10,11
1917_06_11,1917,6,11,9
1917_06_12,1917,6,12,11
1917_06_13,1917,6,13,12
1917_06_14,1917,6,14,10
1917_06_15,1917,6,15,12
1917_06_16,1917,6,16,8
1917_06_17,1917,6,17,15
1917_06_18,1917,6,18,8
1917_06_19,1917,6,19,11
1917_06_20,1917,6,20,22
1917_06_21,1917,6,21,5
1917_06_22,1917,6,22,10
1917_06_23,1917,6,23,17
1917_06_24,1917,6,24,13
1917_06_25,1917,6,25,11
1917_06_26,1917,6,26,12
1917_06_27,1917,6,27,9
1917_06_28,1917,6,28,6
1917_06_29,1917,6,29,8
1917_06_30,1917,6,30,14
1917_07_01,1917,7,1,22
1917_07_02,1917,7,2,8
1917_07_03,1917,7,3,11
1917_07_04,1917,7,4,8
1917_07_05,1917,7,5,9
1917_07_06,1917,7,6,7
1917_07_07,1917,7,7,22
1917_07_08,1917,7,8,11
1917_07_09,1917,7,9,9
1917_07_10,1917,7,10,9
1917_07_11,1917,7,11,8
1917_07_12,1917,7,12,12
1917_07_13,1917,7,13,10
1917_07_14,1917,7,14,9
1917_07_15,1917,7,15,12
1917_07_16,1917,7,16,8
1917_07_17,1917,7,17,15
1917_07_18,1917,7,18,17
1917_07_19,1917,7,19,9
1917_07_20,1917,7,20,13
1917_07_21,1917,7,21,10
1917_07_22,1917,7,22,13
1917_07_23,1917,7,23,6
1917_07_24,1917,7,24,5
1917_07_25,1917,7,25,9
1917_07_26,1917,7,26,7
1917_07_27,1917,7,27,20
1917_07_28,1917,7,28,6
1917_07_29,1917,7,29,9
1917_07_30,1917,7,30,18
1917_07_31,1917,7,31,6
1917_08_01,1917,8,1,12
1917_08_02,1917,8,2,11
1917_08_03,1917,8,3,8
1917_08_04,1917,8,4,12
1917_08_05,1917,8,5,9
1917_08_06,1917,8,6,6
1917_08_07,1917,8,7,11
1917_08_08,1917,8,8,8
1917_08_09,1917,8,9,7
1917_08_10,1917,8,10,8
1917_08_11,1917,8,11,9
1917_08_12,1917,8,12,11
1917_08_13,1917,8,13,8
1917_08_14,1917,8,14,6
1917_08_15,1917,8,15,13
1917_08_16,1917,8,16,5
1917_08_17,1917,8,17,23
1917_08_18,1917,8,18,9
1917_08_19,1917,8,19,16
1917_08_20,1917,8,20,10
1917_08_21,1917,8,21,6
1917_08_22,1917,8,22,6
1917_08_23,1917,8,23,14
1917_08_24,1917,8,24,9
1917_08_25,1917,8,25,12
1917_08_26,1917,8,26,7
1917_08_27,1917,8,27,11
1917_08_28,1917,8,28,8
1917_08_29,1917,8,29,7
1917_08_30,1917,8,30,9
1917_08_31,1917,8,31,14
1917_09_01,1917,9,1,9
1917_09_02,1917,9,2,13
1917_09_03,1917,9,3,11
1917_09_04,1917,9,4,6
1917_09_05,1917,9,5,12
1917_09_06,1917,9,6,5
1917_09_07,1917,9,7,7
1917_09_08,1917,9,8,7
1917_09_09,1917,9,9,5
1917_09_10,1917,9,10,8
1917_09_11,1917,9,11,8
1917_09_12,1917,9,12,13
1917_09_13,1917,9,13,8
1917_09_14,1917,9,14,18
1917_09_15,1917,9,15,9
1917_09_16,1917,9,16,10
1917_09_17,1917,9,17,16
1917_09_18,1917,9,18,6
1917_09_19,1917,9,19,9
1917_09_20,1917,9,20,10
1917_09_21,1917,9,21,15
1917_09_22,1917,9,22,13
1917_09_23,1917,9,23,12
1917_09_24,1917,9,24,8
1917_09_25,1917,9,25,16
1917_09_26,1917,9,26,17
1917_09_27,1917,9,27,8
1917_09_28,1917,9,28,11
1917_09_29,1917,9,29,6
1917_09_30,1917,9,30,10
1917_10_01,1917,10,1,15
1917_10_02,1917,10,2,13
1917_10_03,1917,10,3,11
1917_10_04,1917,10,4,8
1917_10_05,1917,10,5,11
1917_10_06,1917,10,6,10
1917_10_07,1917,10,7,5
1917_10_08,1917,10,8,12
1917_10_09,1917,10,9,12
1917_10_10,1917,10,10,18
1917_10_11,1917,10,11,10
1917_10_12,1917,10,12,15
1917_10_13,1917,10,13,12
1917_10_14,1917,10,14,15
1917_10_15,1917,10,15,14
1917_10_16,1917,10,16,10
1917_10_17,1917,10,17,15
1917_10_18,1917,10,18,11
1917_10_19,1917,10,19,6
1917_10_20,1917,10,20,15
1917_10_21,1917,10,21,13
1917_10_22,1917,10,22,16
1917_10_23,1917,10,23,12
1917_10_24,1917,10,24,10
1917_10_25,1917,10,25,5
1917_10_26,1917,10,26,14
1917_10_27,1917,10,27,9
1917_10_28,1917,10,28,8
1917_10_29,1917,10,29,10
1917_10_30,1917,10,30,4
1917_10_31,1917,10,31,6
1917_11_01,1917,11,1,14
1917_11_02,1917,11,2,9
1917_11_03,1917,11,3,15
1917_11_04,1917,11,4,10
1917_11_05,1917,11,5,16
1917_11_06,1917,11,6,9
1917_11_07,1917,11,7,7
1917_11_08,1917,11,8,6
1917_11_09,1917,11,9,10
1917_11_10,1917,11,10,14
1917_11_11,1917,11,11,11
1917_11_12,1917,11,12,12
1917_11_13,1917,11,13,7
1917_11_14,1917,11,14,13
1917_11_15,1917,11,15,15
1917_11_16,1917,11,16,13
1917_11_17,1917,11,17,14
1917_11_18,1917,11,18,5
1917_11_19,1917,11,19,8
1917_11_20,1917,11,20,6
1917_11_21,1917,11,21,4
1917_11_22,1917,11,22,10
1917_11_23,1917,11,23,6
1917_11_24,1917,11,24,11
1917_11_25,1917,11,25,11
1917_11_26,1917,11,26,10
1917_11_27,1917,11,27,10
1917_11_28,1917,11,28,5
1917_11_29,1917,11,29,9
1917_11_30,1917,11,30,11
1917_12_01,1917,12,1,10
1917_12_02,1917,12,2,14
1917_12_03,1917,12,3,11
1917_12_04,1917,12,4,15
1917_12_05,1917,12,5,13
1917_12_06,1917,12,6,14
1917_12_07,1917,12,7,14
1917_12_08,1917,12,8,17
1917_12_09,1917,12,9,13
1917_12_10,1917,12,10,18
1917_12_11,1917,12,11,5
1917_12_12,1917,12,12,10
1917_12_13,1917,12,13,4
1917_12_14,1917,12,14,11
1917_12_15,1917,12,15,11
1917_12_16,1917,12,16,10
1917_12_17,1917,12,17,11
1917_12_18,1917,12,18,10
1917_12_19,1917,12,19,11
1917_12_20,1917,12,20,16
1917_12_21,1917,12,21,10
1917_12_22,1917,12,22,8
1917_12_23,1917,12,23,10
1917_12_24,1917,12,24,13
1917_12_25,1917,12,25,21
1917_12_26,1917,12,26,10
1917_12_27,1917,12,27,11
1917_12_28,1917,12,28,10
1917_12_29,1917,12,29,7
1917_12_30,1917,12,30,6
1917_12_31,1917,12,31,14
1918_01_01,1918,1,1,279
1918_01_02,1918,1,2,36
1918_01_03,1918,1,3,23
1918_01_04,1918,1,4,34
1918_01_05,1918,1,5,16
1918_01_06,1918,1,6,19
1918_01_07,1918,1,7,21
1918_01_08,1918,1,8,36
1918_01_09,1918,1,9,21
1918_01_10,1918,1,10,25
1918_01_11,1918,1,11,16
1918_01_12,1918,1,12,28
1918_01_13,1918,1,13,17
1918_01_14,1918,1,14,11
1918_01_15,1918,1,15,26
1918_01_16,1918,1,16,16
1918_01_17,1918,1,17,25
1918_01_18,1918,1,18,16
1918_01_19,1918,1,19,20
1918_01_20,1918,1,20,30
1918_01_21,1918,1,21,14
1918_01_22,1918,1,22,9
1918_01_23,1918,1,23,9
1918_01_24,1918,1,24,10
1918_01_25,1918,1,25,10
1918_01_26,1918,1,26,16
1918_01_27,1918,1,27,16
1918_01_28,1918,1,28,16
1918_01_29,1918,1,29,11
1918_01_30,1918,1,30,23
1918_01_31,1918,1,31,8
1918_02_01,1918,2,1,27
1918_02_02,1918,2,2,52
1918_02_03,1918,2,3,22
1918_02_04,1918,2,4,26
1918_02_05,1918,2,5,21
1918_02_06,1918,2,6,15
1918_02_07,1918,2,7,24
1918_02_08,1918,2,8,17
1918_02_09,1918,2,9,16
1918_02_10,1918,2,10,22
1918_02_11,1918,2,11,14
1918_02_12,1918,2,12,19
1918_02_13,1918,2,13,12
1918_02_14,1918,2,14,20
1918_02_15,1918,2,15,15
1918_02_16,1918,2,16,13
1918_02_17,1918,2,17,16
1918_02_18,1918,2,18,16
1918_02_19,1918,2,19,13
1918_02_20,1918,2,20,14
1918_02_21,1918,2,21,16
1918_02_22,1918,2,22,7
1918_02_23,1918,2,23,16
1918_02_24,1918,2,24,15
1918_02_25,1918,2,25,9
1918_02_26,1918,2,26,18
